sheet_row,title,eshop_url,status
2,1-2-Switch,https://www.nintendo.com/us/store/products/1-2-switch-switch/,verified
3,A Little to the Left,https://www.nintendo.com/us/store/products/a-little-to-the-left-switch/,verified
4,Absolum,https://www.nintendo.com/us/store/products/absolum-switch/,verified
5,Among Us,https://www.nintendo.com/us/store/products/among-us-switch/,verified
6,Animal Crossing: New Horizons (Upgrade Pack),https://www.nintendo.com/us/store/products/animal-crossing-new-horizons-upgrade-pack-switch/,NOT FOUND — check manually
7,Assassin's Creed Shadows,https://www.nintendo.com/us/store/products/assassin-s-creed-shadows-switch/,NOT FOUND — check manually
8,BANG! BANG! BANDITS,https://www.nintendo.com/us/store/products/bang-bang-bandits-switch/,verified
9,BANG! BANG! BANDITS Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/bang-bang-bandits-nintendo-switch-2-edition-switch-2/,verified
10,Bayonetta,https://www.nintendo.com/us/store/products/bayonetta-switch/,verified
11,Bayonetta 2,https://www.nintendo.com/us/store/products/bayonetta-2-switch/,verified
12,Bayonetta 3,https://www.nintendo.com/us/store/products/bayonetta-3-switch/,verified
13,Bayonetta Origins: Cereza and the Lost Demon,https://www.nintendo.com/us/store/products/bayonetta-origins-cereza-and-the-lost-demon-switch/,verified
14,Big Brain Academy: Brain vs. Brain,https://www.nintendo.com/us/store/products/big-brain-academy-brain-vs-brain-switch/,verified
15,Boomerang Fu,https://www.nintendo.com/us/store/products/boomerang-fu-switch/,verified
16,Celeste,https://www.nintendo.com/us/store/products/celeste-switch/,verified
17,Clubhouse Games: 51 Worldwide Classics,https://www.nintendo.com/us/store/products/clubhouse-games-51-worldwide-classics-switch/,verified
18,CRISIS CORE – FINAL FANTASY VII – REUNION,https://www.nintendo.com/us/store/products/crisis-core-final-fantasy-vii-reunion-switch/,verified
19,Cyberpunk 2077: Ultimate Edition,https://www.nintendo.com/us/store/products/cyberpunk-2077-ultimate-edition-switch-2/,verified
20,Daemon X Machina: Titanic Scion,https://www.nintendo.com/us/store/products/daemon-x-machina-titanic-scion-switch-2/,verified
21,DAVE THE DIVER,https://www.nintendo.com/us/store/products/dave-the-diver-switch/,verified
22,DAVE THE DIVER - In the Jungle Content Pack (DLC),https://www.nintendo.com/us/store/products/dave-the-diver-in-the-jungle-content-pack-dlc-switch/,NOT FOUND — check manually
23,DEEMO,https://www.nintendo.com/us/store/products/deemo-switch/,verified
24,Devil May Cry 5 Devil Hunter Edition,https://www.nintendo.com/us/store/products/devil-may-cry-5-devil-hunter-edition-switch-2/,verified
25,Diablo III: Eternal Collection,https://www.nintendo.com/us/store/products/diablo-iii-eternal-collection-switch/,verified
26,Disney Dreamlight Valley,https://www.nintendo.com/us/store/products/disney-dreamlight-valley-switch/,verified
27,Donkey Kong Bananza: DK Island & Emerald Rush (DLC),https://www.nintendo.com/us/store/products/donkey-kong-bananza-dk-island-and-emerald-rush-dlc-switch/,NOT FOUND — check manually
28,Dr Kawashima's Brain Training for Nintendo Switch,https://www.nintendo.com/us/store/products/dr-kawashima-s-brain-training-for-nintendo-switch-switch/,NOT FOUND — check manually
29,DRAGON QUEST I & II HD-2D Remake,https://www.nintendo.com/us/store/products/dragon-quest-i-and-ii-hd-2d-remake-switch/,verified
30,DRAGON QUEST VII Reimagined,https://www.nintendo.com/us/store/products/dragon-quest-vii-reimagined-switch/,verified
31,DRAGON QUEST VII Reimagined Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/dragon-quest-vii-reimagined-nintendo-switch-2-edition-switch-2/,NOT FOUND — check manually
32,DRAGON QUEST® XI S: Echoes of an Elusive Age – Definitive Edition,https://www.nintendo.com/us/store/products/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch/,verified
33,DYNASTY WARRIORS: ORIGINS,https://www.nintendo.com/us/store/products/dynasty-warriors-origins-switch-2/,verified
34,EA SPORTS FC 26,https://www.nintendo.com/us/store/products/ea-sports-fc-26-switch/,verified
35,EA SPORTS FC 26 (Switch 2 Edition),https://www.nintendo.com/us/store/products/ea-sports-fc-26-switch-2/,verified
36,eFootball Kick-Off!,https://www.nintendo.com/us/store/products/efootball-kick-off-switch-2/,verified
37,Enter the Gungeon,https://www.nintendo.com/us/store/products/enter-the-gungeon-switch/,verified
38,Everybody 1-2-Switch!,https://www.nintendo.com/us/store/products/everybody-1-2-switch-switch/,verified
39,Exit the Gungeon,https://www.nintendo.com/us/store/products/exit-the-gungeon-switch/,verified
40,Expeditions: A MudRunner Game,https://www.nintendo.com/us/store/products/expeditions-a-mudrunner-game-switch/,verified
41,Fast Fusion,https://www.nintendo.com/us/store/products/fast-fusion-switch-2/,verified
42,FINAL FANTASY TACTICS - The Ivalice Chronicles,https://www.nintendo.com/us/store/products/final-fantasy-tactics-the-ivalice-chronicles-switch/,verified
43,FINAL FANTASY VII REBIRTH,https://www.nintendo.com/us/store/products/final-fantasy-vii-rebirth-switch-2/,verified
44,FINAL FANTASY VII REMAKE INTERGRADE,https://www.nintendo.com/us/store/products/final-fantasy-vii-remake-intergrade-switch-2/,verified
45,Fire Emblem Engage,https://www.nintendo.com/us/store/products/fire-emblem-engage-switch/,verified
46,Fire Emblem: Three Houses,https://www.nintendo.com/us/store/products/fire-emblem-three-houses-switch/,verified
47,Fire Emblem: Three Houses – Expansion Pass (DLC),https://www.nintendo.com/us/store/products/fire-emblem-three-houses-expansion-pass-dlc-switch/,NOT FOUND — check manually
48,Golf Story,https://www.nintendo.com/us/store/products/golf-story-switch/,verified
49,Hades II,https://www.nintendo.com/us/store/products/hades-ii-switch/,verified
50,Heave Ho,https://www.nintendo.com/us/store/products/heave-ho-switch/,verified
51,HITMAN World of Assassination - Signature Edition,https://www.nintendo.com/us/store/products/hitman-world-of-assassination-signature-edition-switch-2/,verified
52,Hollow Knight: Silksong,https://www.nintendo.com/us/store/products/hollow-knight-silksong-switch/,verified
53,Human: Fall Flat,https://www.nintendo.com/us/store/products/human-fall-flat-switch/,verified
54,Hyrule Warriors: Age of Calamity,https://www.nintendo.com/us/store/products/hyrule-warriors-age-of-calamity-switch/,verified
55,Hyrule Warriors: Age of Imprisonment,https://www.nintendo.com/us/store/products/hyrule-warriors-age-of-imprisonment-switch-2/,verified
56,INAZUMA ELEVEN: Victory Road,https://www.nintendo.com/us/store/products/inazuma-eleven-victory-road-switch/,verified
57,INAZUMA ELEVEN: Victory Road Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/inazuma-eleven-victory-road-nintendo-switch-2-edition-switch-2/,verified
58,Indiana Jones and the Great Circle,https://www.nintendo.com/us/store/products/indiana-jones-and-the-great-circle-switch-2/,verified
